variable_id,country,panel,gold_share_of_reserves,holdings_tonnes,holdings_as_of,unit,source_file,source_publication_date,download_date,ingested_at,validation_status,availability_status,parser_version
L5-002,Chile,right,0.0215279745050225,8.39476221579422,2026-03-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872733+00:00,PASS,AVAILABLE,1.1.0
L5-002,Paraguay,right,0.1056613223891539,8.193368791017388,2025-11-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872844+00:00,PASS,AVAILABLE,1.1.0
L5-002,Nepal,right,0.0492059492822739,7.987724238748407,2025-12-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873211+00:00,PASS,AVAILABLE,1.1.0
L5-002,Mongolia,right,0.1582100042261942,7.880394388977016,2026-01-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873372+00:00,PASS,AVAILABLE,1.1.0
L5-002,Georgia,right,0.1423946684846601,7.833640944294113,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873479+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Tajikistan, Rep. of",right,0.1821391882661731,7.415256446143169,Feb 2023,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873544+00:00,PASS,AVAILABLE,1.1.0
L5-002,"North Macedonia, Republic of",right,0.1584221893350462,6.893533491953594,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873676+00:00,PASS,AVAILABLE,1.1.0
L5-002,Tunisia,right,0.0939241361617143,6.842710957668502,2025-10-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873816+00:00,PASS,AVAILABLE,1.1.0
L5-002,Oman,right,0.0454583894444323,6.727597897421542,Mar 2025,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.873941+00:00,PASS,AVAILABLE,1.1.0
L5-002,Latvia,right,0.1409173723939641,6.656091567913906,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874028+00:00,PASS,AVAILABLE,1.1.0
