STRUCTURE,STRUCTURE_ID,ACTION,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE,COLLECTION,UNIT_MULT,UNIT_MEASURE,TITLE_TS,DECIMALS,OBS_STATUS,OBS_PRE_BREAK,OBS_CONF
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2018-Q3,117149.402,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2018-Q4,117973.446,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2019-Q1,119991.995,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2019-Q2,121539.315,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2019-Q3,120168.108,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2019-Q4,123774.401,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2020-Q1,122794.635,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2020-Q2,127170.046,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2020-Q3,131479.531,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2020-Q4,137298.592,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2021-Q1,136988.472,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2021-Q2,140802.256,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2021-Q3,140879.167,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2021-Q4,142597.428,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2022-Q1,144348.784,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2022-Q2,141011.892,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2022-Q3,137015.663,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2022-Q4,143389.321,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2023-Q1,146019.859,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2023-Q2,144453.046,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2023-Q3,143979.758,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2023-Q4,148759.587,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2024-Q1,148172.054,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2024-Q2,148685.035,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2024-Q3,154595.917,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2024-Q4,148820.859,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2025-Q1,153344.53,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2025-Q2,159706.491,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2025-Q3,161067.511,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2025-Q4,163434.02,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
