variable_id,country,holdings_tonnes,unit,source_file,source_publication_date,download_date,workbook_sha256,ingested_at,validation_status,availability_status,parser_version
L0-002,Romania,103.62041616123916,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334179+00:00,PASS,AVAILABLE,1.0.0
L0-002,BIS2),102.0,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334209+00:00,PASS,AVAILABLE,1.0.0
L0-002,Indonesia,87.08904855214456,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334238+00:00,PASS,AVAILABLE,1.0.0
L0-002,Czech Rep.,82.42872694472956,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334267+00:00,PASS,AVAILABLE,1.0.0
L0-002,Australia,79.87309881496688,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334295+00:00,PASS,AVAILABLE,1.0.0
L0-002,Kuwait,78.97729796895898,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334321+00:00,PASS,AVAILABLE,1.0.0
L0-002,Jordan,78.72469770769183,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334347+00:00,PASS,AVAILABLE,1.0.0
L0-002,United Arab Emirates,74.96364793995303,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334380+00:00,PASS,AVAILABLE,1.0.0
L0-002,Denmark,66.54847438648876,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334406+00:00,PASS,AVAILABLE,1.0.0
L0-002,World6),36705.42844418277,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.338428+00:00,PASS,AVAILABLE,1.0.0
L0-002,Euro Area (incl. ECB),10807.63568784797,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.338500+00:00,PASS,AVAILABLE,1.0.0
